,0
0,acorn squash
1,alfalfa sprouts
2,almond
3,anchovy
4,anise
5,appetite
6,appetizer
7,apple
8,apricot
9,artichoke
10,asparagus
11,aspic
12,ate
13,avocado
14,bacon
15,bagel
16,bake
17,baked Alaska
18,bamboo shoots
19,banana
20,barbecue
21,barley
22,basil
23,batter
24,beancurd
25,beans
26,beef
27,beet
28,bell pepper
29,berry
30,biscuit
31,bitter
32,black beans
33,black tea
34,black-eyed peas
35,blackberry
36,bland
37,blood orange
38,blueberry
39,boil
40,bowl
41,boysenberry
42,bran
43,bread
44,breadfruit
45,breakfast
46,brisket
47,broccoli
48,broil
49,brown rice
50,brownie
51,brunch
52,Brussels sprouts
53,buckwheat
54,buns
55,burrito
56,butter
57,butter bean
58,cake
59,calorie
60,candy
61,candy apple
62,cantaloupe
63,capers
64,caramel
65,caramel apple
66,carbohydrate
67,carrot
68,cashew
69,cassava
70,casserole
71,cater
72,cauliflower
73,caviar
74,cayenne pepper
75,celery
76,cereal
77,chard
78,cheddar
79,cheese
80,cheesecake
81,chef
82,cherry
83,chew
84,chick peas
85,chicken
86,chili
87,chips
88,chives
89,chocolate
90,chopsticks
91,chow
92,chutney
93,cilantro
94,cinnamon
95,citron
96,citrus
97,clam
98,cloves
99,cobbler
100,coconut
101,cod
102,coffee
103,coleslaw
104,collard greens
105,comestibles
106,cook
107,cookbook
108,cookie
109,corn
110,cornflakes
111,cornmeal
112,cottage cheese
113,crab
114,crackers
115,cranberry
116,cream
117,cream cheese
118,crepe
119,crisp
120,crunch
121,crust
122,cucumber
123,cuisine
124,cupboard
125,cupcake
126,curds
127,currants
128,curry
129,custard
130,daikon
131,daily bread
132,dairy
133,dandelion greens
134,Danish pastry
135,dates
136,dessert
137,diet
138,digest
139,digestive system
140,dill
141,dine
142,diner
143,dinner
144,dip
145,dish
146,dough
147,doughnut
148,dragonfruit
149,dressing
150,dried
151,drink
152,dry
153,durian
154,eat
155,Edam cheese
156,edible
157,egg
158,eggplant
159,elderberry
160,endive
161,entree
162,fast
163,fat
164,fava beans
165,feast
166,fed
167,feed
168,fennel
169,fig
170,fillet
171,fire
172,fish
173,flan
174,flax
175,flour
176,food
177,food pyramid
178,foodstuffs
179,fork
180,freezer
181,French fries
182,fried
183,fritter
184,frosting
185,fruit
186,fry
187,garlic
188,gastronomy
189,gelatin
190,ginger
191,ginger ale
192,gingerbread
193,glasses
194,Gouda cheese
195,grain
196,granola
197,grape
198,grapefruit
199,grated
200,gravy
201,green bean
202,green tea
203,greens
204,grub
205,guacamole
206,guava
207,gyro
208,halibut
209,ham
210,hamburger
211,hash
212,hazelnut
213,herbs
214,honey
215,honeydew
216,horseradish
217,hot
218,hot dog
219,hot sauce
220,hummus
221,hunger
222,hungry
223,ice
224,ice cream
225,ice cream cone
226,iceberg lettuce
227,iced tea
228,icing
229,jackfruit
230,jalapeño
231,jam
232,jelly
233,jellybeans
234,jicama
235,jimmies
236,Jordan almonds
237,jug
238,juice
239,julienne
240,junk food
241,kale
242,kebab
243,ketchup
244,kettle
245,kettle corn
246,kidney beans
247,kitchen
248,kiwi
249,knife
250,kohlrabi
251,kumquat
252,ladle
253,lamb
254,lard
255,lasagna
256,legumes
257,lemon
258,lemonade
259,lentils
260,lettuce
261,licorice
262,lima beans
263,lime
264,liver
265,loaf
266,lobster
267,lollipop
268,loquat
269,lox
270,lunch
271,lunch box
272,lunchmeat
273,lychee
274,macaroni
275,macaroon
276,main course
277,maize
278,mandarin orange
279,mango
280,maple syrup
281,margarine
282,marionberry
283,marmalade
284,marshmallow
285,mashed potatoes
286,mayonnaise
287,meat
288,meatball
289,meatloaf
290,melon
291,menu
292,meringue
293,micronutrient
294,milk
295,milkshake
296,millet
297,mincemeat
298,minerals
299,mint
300,mints
301,mochi
302,molasses
303,mole sauce
304,mozzarella
305,muffin
306,mug
307,munch
308,mushroom
309,mussels
310,mustard
311,mustard greens
312,mutton
313,napkin
314,nectar
315,nectarine
316,nibble
317,noodles
318,nosh
319,nourish
320,nourishment
321,nut
322,nutmeg
323,nutrient
324,nutrition
325,nutritious
326,oatmeal
327,oats
328,oil
329,okra
330,oleo
331,olive
332,omelet
333,omnivore
334,onion
335,orange
336,order
337,oregano
338,oven
339,oyster
340,pan
341,pancake
342,papaya
343,parsley
344,parsnip
345,pasta
346,pastry
347,pate
348,patty
349,pattypan squash
350,pea
351,pea pod
352,peach
353,peanut
354,peanut butter
355,pear
356,pecan
357,pepper
358,pepperoni
359,persimmon
360,pickle
361,picnic
362,pie
363,pilaf
364,pineapple
365,pita bread
366,pitcher
367,pizza
368,plate
369,platter
370,plum
371,poached
372,pomegranate
373,pomelo
374,pop
375,popcorn
376,popovers
377,popsicle
378,pork
379,pork chops
380,pot
381,pot roast
382,potato
383,preserves
384,pretzel
385,prime rib
386,protein
387,provisions
388,prune
389,pudding
390,pumpernickel
391,pumpkin
392,punch
393,quiche
394,quinoa
395,radish
396,raisin
397,raspberry
398,rations
399,ravioli
400,recipe
401,refreshments
402,refrigerator
403,relish
404,restaurant
405,rhubarb
406,ribs
407,rice
408,roast
409,roll
410,rolling pin
411,romaine
412,rosemary
413,rye
414,saffron
415,sage
416,salad
417,salami
418,salmon
419,salsa
420,salt
421,sandwich
422,sauce
423,sauerkraut
424,sausage
425,savory
426,scallops
427,scrambled
428,seaweed
429,seeds
430,sesame seed
431,shallots
432,sherbet
433,shish kebab
434,shrimp
435,slaw
436,slice
437,smoked
438,snack
439,soda
440,soda bread
441,sole
442,sorbet
443,sorghum
444,sorrel
445,soup
446,sour
447,sour cream
448,soy
449,soy sauce
450,soybeans
451,spaghetti
452,spareribs
453,spatula
454,spices
455,spicy
456,spinach
457,split peas
458,spoon
459,spork
460,sprinkles
461,sprouts
462,spuds
463,squash
464,squid
465,steak
466,stew
467,stir-fry
468,stomach
469,stove
470,straw
471,strawberry
472,string bean
473,stringy
474,strudel
475,sub sandwich
476,submarine sandwich
477,succotash
478,suet
479,sugar
480,summer squash
481,sundae
482,sunflower
483,supper
484,sushi
485,sustenance
486,sweet
487,sweet potato
488,Swiss chard
489,syrup
490,taco
491,take-out
492,tamale
493,tangerine
494,tapioca
495,taro
496,tarragon
497,tart
498,tea
499,teapot
500,teriyaki
501,thyme
502,toast
503,toaster
504,toffee
505,tofu
506,tomatillo
507,tomato
508,torte
509,tortilla
510,tuber
511,tuna
512,turkey
513,turmeric
514,turnip
515,ugli fruit
516,unleavened
517,utensils
518,vanilla
519,veal
520,vegetable
521,venison
522,vinegar
523,vitamin
524,wafer
525,waffle
526,walnut
527,wasabi
528,water
529,water chestnut
530,watercress
531,watermelon
532,wheat
533,whey
534,whipped cream
535,wok
536,yam
537,yeast
538,yogurt
539,yolk
540,zucchini
541,allspice
542,angelica
543,anise
544,annatto
545,basil
546,bay
547,berbere
548,borage
549,capers
550,caraway
551,cardamom
552,carob
553,cayenne pepper
554,celery seed
555,chervil
556,chicory
557,chili pepper
558,chives
559,cicely
560,cilantro
561,cinnamon
562,clove
563,coriander
564,curry leaf
565,dill
566,epazote
567,fennel
568,fenugreek
569,filé
570,galangal
571,garam masala
572,garlic
573,garlic chives
574,ginger
575,green onion
576,harissa
577,horseradish
578,hyssop
579,jasmine flowers
580,jerk spice
581,juniper berry
582,kaffir lime leaves
583,lavender
584,lemon balm
585,lemon verbena
586,licorice
587,lovage
588,mace
589,marjoram
590,mint
591,mustard seed
592,nasturtium
593,nutmeg
594,onion
595,oregano
596,paprika
597,parsley
598,pepper
599,peppermint
600,rosemary
601,rue
602,saffron
603,sage
604,salad burnet
605,sassafras
606,savory
607,spearmint
608,star anise
609,sumac
610,tarragon
611,thyme
612,turmeric
613,vanilla
614,wasabi
615,watercress
616,wintergreen
617,woodruff
618,yellow mustard
